input,examp
comid,comid
comid_wy,comid_wy
wa_yr,wa_yr
ppt_jan_wy,ppt_jan_wy
ppt_feb_wy,ppt_feb_wy
ppt_mar_wy,ppt_mar_wy
ppt_apr_wy,ppt_apr_wy
ppt_may_wy,ppt_may_wy
ppt_jun_wy,ppt_jun_wy
ppt_jul_wy,ppt_jul_wy
ppt_aug_wy,ppt_aug_wy
ppt_sep_wy,ppt_sep_wy
ppt_oct_wy,ppt_oct_wy
ppt_nov_wy,ppt_nov_wy
ppt_dec_wy,ppt_dec_wy
ppt_jan_pwy,ppt_jan_pwy
ppt_feb_pwy,ppt_feb_pwy
ppt_mar_pwy,ppt_mar_pwy
ppt_apr_pwy,ppt_apr_pwy
ppt_may_pwy,ppt_may_pwy
ppt_jun_pwy,ppt_jun_pwy
ppt_jul_pwy,ppt_jul_pwy
ppt_aug_pwy,ppt_aug_pwy
ppt_sep_pwy,ppt_sep_pwy
tav_jan_wy,tav_jan_wy
tav_feb_wy,tav_feb_wy
tav_mar_wy,tav_mar_wy
tav_apr_wy,tav_apr_wy
tav_may_wy,tav_may_wy
tav_jun_wy,tav_jun_wy
tav_jul_wy,tav_jul_wy
tav_aug_wy,tav_aug_wy
tav_sep_wy,tav_sep_wy
tav_oct_wy,tav_oct_wy
tav_nov_wy,tav_nov_wy
tav_dec_wy,tav_dec_wy
tav_jan_pwy,tav_jan_pwy
tav_feb_pwy,tav_feb_pwy
tav_mar_pwy,tav_mar_pwy
tav_apr_pwy,tav_apr_pwy
tav_may_pwy,tav_may_pwy
tav_jun_pwy,tav_jun_pwy
tav_jul_pwy,tav_jul_pwy
tav_aug_pwy,tav_aug_pwy
tav_sep_pwy,tav_sep_pwy
run_jan_wy,run_jan_wy
run_feb_wy,run_feb_wy
run_mar_wy,run_mar_wy
run_apr_wy,run_apr_wy
run_may_wy,run_may_wy
run_jun_wy,run_jun_wy
run_jul_wy,run_jul_wy
run_aug_wy,run_aug_wy
run_sep_wy,run_sep_wy
run_oct_wy,run_oct_wy
run_nov_wy,run_nov_wy
run_dec_wy,run_dec_wy
run_jan_pwy,run_jan_pwy
run_feb_pwy,run_feb_pwy
run_mar_pwy,run_mar_pwy
run_apr_pwy,run_apr_pwy
run_may_pwy,run_may_pwy
run_jun_pwy,run_jun_pwy
run_jul_pwy,run_jul_pwy
run_aug_pwy,run_aug_pwy
run_sep_pwy,run_sep_pwy
ppt_ann_wy,ppt_ann_wy
ppt_fall_wy,ppt_fall_wy
ppt_wint_wy,ppt_wint_wy
ppt_sprg_wy,ppt_sprg_wy
ppt_summ_wy,ppt_summ_wy
ppt_ann_pwy,ppt_ann_pwy
ppt_wint_pwy,ppt_wint_pwy
ppt_sprg_pwy,ppt_sprg_pwy
ppt_summ_pwy,ppt_summ_pwy
ppt_sum1,ppt_sum1
