comid,wy,area,p10,p25,p50,p75,p90
3917070,1950,1.649,32.98,68.9166666666667,143.333333333333,201,256
3917070,1951,1.649,33.5,71,144,199.270833333333,255.033333333333
3917070,1952,1.649,34.59,71.9,143,200.25,256.34
3917070,1953,1.649,34,71.3125,143,199.375,256
3917070,1954,1.649,34,71,143.416666666667,201.125,256.02
3917070,1955,1.649,35,72.625,144.5,201.375,256.213333333333
3917070,1956,1.649,33.5,70.6,144.5,200.25,255.4
3917070,1957,1.649,34,71,142.9,199.525,253.808333333333
3917070,1958,1.649,33.5,71,143.333333333333,200,256.213333333333
3917070,1959,1.649,34,71.3125,144.366666666667,201,256
3917070,1960,1.649,33.5,71.3125,144,199.525,256
3917070,1961,1.649,33.5,71,142,199.375,256
3917070,1962,1.649,33.95,70,143,199.375,254.033333333333
3917070,1963,1.649,33.5,69.95,142,199,255.033333333333
3917070,1964,1.649,34,71.55,143.166666666667,199.525,256
3917070,1965,1.649,34,71.9,144.366666666667,201.5625,256.213333333333
3917070,1966,1.649,34.7416666666667,72.4375,144.366666666667,201.8125,256.213333333333
3917070,1967,1.649,33.5,71,144,201,256.02
3917070,1968,1.649,34.5,72,144.5,201.375,256
3917070,1969,1.649,34,71,143.333333333333,200.4375,256.02
3917070,1970,1.649,33.3,71,144.366666666667,199.7,254.4
3917070,1971,1.649,34,71.1875,143,199.375,256
3917070,1972,1.649,34,71,143.166666666667,201.375,256
3917070,1973,1.649,34,71.9,144.45,200.25,254.4
3917070,1974,1.649,33.5,71,142.633333333333,199.75,256
3917070,1975,1.649,34,71.3833333333334,143.416666666667,201,259
3917070,1976,1.649,33.5,71,143.75,200.0625,253.435
3917070,1977,1.649,34.6666666666667,72,144.5,200.4375,256
3917070,1978,1.649,33.5,70,143.75,201,256.02
3917070,1979,1.649,33.5,71.3833333333334,143.333333333333,199.333333333333,253.808333333333
3917070,1980,1.649,33.5,71,143.166666666667,200,256.213333333333
3917070,1981,1.649,34,71.9,143.333333333333,199,253.04
3917070,1982,1.649,34.45,72,144.333333333333,201,256
3917070,1983,1.649,34,72,143.416666666667,201,256
3917070,1984,1.649,34,72,143.166666666667,199.525,256
3917070,1985,1.649,34.975,72.4375,144.5,201.083333333333,256.02
3917070,1986,1.649,34,71,144.5,201,256
3917070,1987,1.649,33.95,70.6,142.733333333333,199.375,256.02
3917070,1988,1.649,33.95,71,142.733333333333,200,256.213333333333
3917070,1989,1.649,34,71.1875,143.333333333333,201.375,256
3917070,1990,1.649,34,71.3125,144.5,201.275,256.835
3917070,1991,1.649,33.95,71,144.45,201.233333333333,256.34
3917070,1992,1.649,33.3,71,143.75,201,255.033333333333
3917070,1993,1.649,33.5,71,144.5,201.125,256.213333333333
3917070,1994,1.649,34.45,71.3125,144,201,256.02
3917070,1995,1.649,33.3,71,143.333333333333,199.270833333333,253.808333333333
3917070,1996,1.649,34.45,71.3833333333334,143.875,199.270833333333,252.64
3917070,1997,1.649,34,71.55,144.45,201,255.033333333333
3917070,1998,1.649,34,71.1875,143.333333333333,200,256.213333333333
3917070,1999,1.649,34,71,143,200,254.433333333333
3917070,2000,1.649,34,69.95,142,199.333333333333,256.213333333333
3917070,2001,1.649,34,71.9,144.5,201.275,256.02
3917070,2002,1.649,34,71,144.55,201.5625,256.835
3917070,2003,1.649,33.95,71,143.166666666667,200,256
3917070,2004,1.649,34.5,71.9,144.333333333333,200.25,256
3917070,2005,1.649,33.95,71.3125,143.333333333333,200,256.34
3917070,2006,1.649,33.95,71,143.333333333333,200.25,256.213333333333
3917070,2007,1.649,34,71,143.75,200.4375,255.4
3917070,2008,1.649,34,71.55,144.5,200.25,256.435
3917070,2009,1.649,33.5,71,143,199.75,256.02
3917070,2010,1.649,33.5,71,143,199.616666666667,255.033333333333
